都道府県,データ配信元,報告日時,地方名,予報日時,天気,風,波
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　後　西の風　海上　では　西の風　やや強く,１メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-14T00:00:00+09:00,晴れ　昼前　まで　時々　くもり,北西の風　後　西の風　海上　では　北西の風　やや強く,２メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,釧路地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,１メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　後　西の風　海上　では　西の風　やや強く,１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-14T00:00:00+09:00,晴れ　時々　くもり　根室北部　では　明け方　まで　雪,西の風　後　北西の風　やや強く,２メートル　後　２．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,根室地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,西の風,２．５メートル　後　１メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　海上　では　北西の風　やや強く,１メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,西の風　海上　では　北西の風　やや強く,２メートル　後　１．５メートル
北海道,釧路地方気象台,2023-11-13T11:00:00+09:00,十勝地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風　後　南東の風,１メートル
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,上川地方,2023-11-13T11:00:00+09:00,くもり　夕方　から　雪,南西の風,
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,上川地方,2023-11-14T00:00:00+09:00,雪　昼過ぎ　から　くもり　所により　昼前　まで　雷　を伴う,西の風,
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,上川地方,2023-11-15T00:00:00+09:00,くもり,南の風,
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,留萌地方,2023-11-13T11:00:00+09:00,雪か雨　時々　くもり,西の風　やや強く　海上　では　後　北西の風　強く,２メートル　後　２．５メートル
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,留萌地方,2023-11-14T00:00:00+09:00,雪　で　ふぶく　昼過ぎ　から　くもり　所により　昼前　まで　雷　を伴う,西の風　やや強く　海上　では　北西の風　強く,３メートル　後　１．５メートル
北海道,旭川地方気象台,2023-11-13T11:00:00+09:00,留萌地方,2023-11-15T00:00:00+09:00,くもり,東の風　後　西の風,１．５メートル　後　１メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,石狩地方,2023-11-13T11:00:00+09:00,くもり　夜　雪か雨,西の風　海上　では　後　西の風　強く,２メートル　後　２．５メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,石狩地方,2023-11-14T00:00:00+09:00,くもり　明け方　まで　雪か雨,北西の風　海上　では　北西の風　強く,３メートル　後　１．５メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,石狩地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,南の風　後　北の風,１．５メートル　後　１メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,空知地方,2023-11-13T11:00:00+09:00,くもり　夕方　から　雪,西の風　後　南西の風,
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,空知地方,2023-11-14T00:00:00+09:00,くもり　明け方　まで　雪,西の風,
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,空知地方,2023-11-15T00:00:00+09:00,くもり,南の風　後　東の風,
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,後志地方,2023-11-13T11:00:00+09:00,くもり　夕方　から　雪か雨,西の風　海上　では　後　西の風　強く,２メートル　後　２．５メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,後志地方,2023-11-14T00:00:00+09:00,くもり　明け方　まで　雪か雨,西の風　海上　では　北西の風　強く,３メートル　後　１．５メートル
北海道,札幌管区気象台,2023-11-13T11:00:00+09:00,後志地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,西の風,１．５メートル　後　１メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,津軽,2023-11-13T11:00:00+09:00,くもり　夕方　から　雨か雪,西の風　海上　では　北西の風　強く,２．５メートル　後　３メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,津軽,2023-11-14T00:00:00+09:00,くもり　明け方　まで　雨か雪,西の風　海上　では　はじめ　北西の風　強く,３メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,津軽,2023-11-15T00:00:00+09:00,くもり,西の風,２メートル　後　１メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,下北,2023-11-13T11:00:00+09:00,くもり　所により　雨か雪,西の風　海上　では　西の風　強く,１．５メートル　後　２メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,下北,2023-11-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　明け方　まで　雨か雪,西の風　海上　では　はじめ　西の風　強く,２メートル　後　１．５メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,下北,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,南の風,１メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,三八上北,2023-11-13T11:00:00+09:00,くもり　所により　雨か雪,西の風　やや強く,１．５メートル　後　２メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,三八上北,2023-11-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨か雪,西の風　やや強く,２メートル
青森,青森地方気象台,2023-11-13T11:00:00+09:00,三八上北,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-13T11:00:00+09:00,くもり　所により　雨か雪,北西の風,
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨か雪,西の風,
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,東の風,
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸北部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ,西の風　海上　では　北西の風　やや強く,１．５メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸北部,2023-11-14T00:00:00+09:00,晴れ　昼過ぎ　まで　時々　くもり,西の風　海上　では　西の風　やや強く,２メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸北部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,西の風,１メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸南部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ,北西の風　海上　では　北西の風　やや強く,１．５メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸南部,2023-11-14T00:00:00+09:00,晴れ　昼過ぎ　まで　時々　くもり,北西の風　日中　北の風　海上　では　西の風　やや強く,２メートル　後　１．５メートル
岩手,盛岡地方気象台,2023-11-13T11:00:00+09:00,沿岸南部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風　後　南の風,１メートル
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,東部,2023-11-13T11:00:00+09:00,晴れ　昼過ぎ　から　夕方　くもり,北西の風　後　西の風　やや強く,１．５メートル
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,東部,2023-11-14T00:00:00+09:00,くもり　昼前　から　時々　晴れ,西の風　やや強く,２メートル　後　１メートル
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,東部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,西の風,１メートル
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,西部,2023-11-13T11:00:00+09:00,くもり　昼過ぎ　から　夕方　雨か雪,西の風,
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,西部,2023-11-14T00:00:00+09:00,くもり　時々　晴れ　未明　雨か雪,西の風,
宮城,仙台管区気象台,2023-11-13T11:00:00+09:00,西部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,西の風,
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,沿岸,2023-11-13T11:00:00+09:00,雨か雪　時々　くもり　所により　雷　を伴う,北西の風　やや強く　後　西の風　やや強く,３メートル
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,沿岸,2023-11-14T00:00:00+09:00,雨　昼前　から　くもり　所により　明け方　まで　雷　を伴う,西の風　やや強く,３メートル
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,沿岸,2023-11-15T00:00:00+09:00,くもり,東の風,２メートル　後　１メートル
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-13T11:00:00+09:00,雨か雪　時々　くもり　所により　雷　を伴う,西の風,
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-14T00:00:00+09:00,雨か雪　昼前　から　くもり　所により　明け方　まで　雷　を伴う,西の風,
秋田,秋田地方気象台,2023-11-13T11:00:00+09:00,内陸,2023-11-15T00:00:00+09:00,くもり,東の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,村山,2023-11-13T11:00:00+09:00,くもり　時々　雨　所により　夕方　まで　雷　を伴う,西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,村山,2023-11-14T00:00:00+09:00,雨　昼前　から　くもり,西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,村山,2023-11-15T00:00:00+09:00,くもり,南東の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,置賜,2023-11-13T11:00:00+09:00,雨　夕方　まで　時々　くもり　所により　雷　を伴う,西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,置賜,2023-11-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　西置賜　では　明け方　まで　雷　を伴う,西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,置賜,2023-11-15T00:00:00+09:00,くもり,北の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,庄内,2023-11-13T11:00:00+09:00,雨　夕方　まで　時々　くもり　所により　雷　を伴う,西の風　やや強く,３メートル
山形,山形地方気象台,2023-11-13T11:00:00+09:00,庄内,2023-11-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　所により　明け方　まで　雷　を伴う,西の風　やや強く,３メートル
山形,山形地方気象台,2023-11-13T11:00:00+09:00,庄内,2023-11-15T00:00:00+09:00,くもり,東の風,２メートル　後　１メートル
山形,山形地方気象台,2023-11-13T11:00:00+09:00,最上,2023-11-13T11:00:00+09:00,雨　夕方　まで　時々　くもり　所により　雷　を伴う,北西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,最上,2023-11-14T00:00:00+09:00,雨　昼過ぎ　から　くもり　所により　明け方　まで　雷　を伴う,北西の風　日中　西の風,
山形,山形地方気象台,2023-11-13T11:00:00+09:00,最上,2023-11-15T00:00:00+09:00,くもり,東の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,中通り,2023-11-13T11:00:00+09:00,くもり　時々　晴れ　所により　雨か雪,西の風　やや強く　後　北西の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,中通り,2023-11-14T00:00:00+09:00,くもり　所により　朝　まで　雨か雪,西の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,中通り,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,浜通り,2023-11-13T11:00:00+09:00,くもり　時々　晴れ,北西の風　やや強く,２メートル　後　１．５メートル
福島,福島地方気象台,2023-11-13T11:00:00+09:00,浜通り,2023-11-14T00:00:00+09:00,くもり　時々　晴れ,北西の風　後　西の風　海上　では　西の風　やや強く,１．５メートル　後　１メートル
福島,福島地方気象台,2023-11-13T11:00:00+09:00,浜通り,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,１メートル
福島,福島地方気象台,2023-11-13T11:00:00+09:00,会津,2023-11-13T11:00:00+09:00,くもり　夕方　から　雨か雪,西の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,会津,2023-11-14T00:00:00+09:00,くもり　未明　雨か雪,西の風,
福島,福島地方気象台,2023-11-13T11:00:00+09:00,会津,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ,北西の風　やや強く　海上　では　北の風　強く,２．５メートル　後　２メートル
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,北西の風　海上　では　はじめ　北西の風　やや強く,２メートル　後　１．５メートル　うねり　を伴う
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,１．５メートル
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　やや強く　海上　では　北の風　強く,３メートル　後　２メートル
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-14T00:00:00+09:00,晴れ　朝晩　くもり,西の風　後　東の風　海上　では　はじめ　北西の風　やや強く,２メートル　後　１．５メートル　うねり　を伴う
茨城,水戸地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北西の風,１．５メートル
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,南の風,
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,北の風　日中　南東の風,
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ　所により　昼過ぎ　から　雨か雪,北の風　やや強く,
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-14T00:00:00+09:00,くもり　夜　晴れ　所により　朝　まで　雪か雨,北の風,
栃木,宇都宮地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-13T11:00:00+09:00,晴れ,北西の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,北西の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北西の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-13T11:00:00+09:00,くもり　所により　雪か雨,北の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雪か雨,北の風,
群馬,前橋地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-13T11:00:00+09:00,くもり　昼過ぎ　から　晴れ,北西の風　やや強く,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,北西の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,北部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北西の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-13T11:00:00+09:00,くもり　昼過ぎ　から　晴れ,北の風　やや強く,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,北西の風　後　南の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,北の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,秩父地方,2023-11-13T11:00:00+09:00,くもり　昼過ぎ　から　晴れ,北西の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,秩父地方,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,南西の風　日中　東の風,
埼玉,熊谷地方気象台,2023-11-13T11:00:00+09:00,秩父地方,2023-11-15T00:00:00+09:00,晴れ　時々　くもり,南西の風,
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北西部,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北の風　後　北西の風　やや強く,０．５メートル　後　１．５メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北西部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,北西の風　後　南東の風,０．５メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北西部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,０．５メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北東部,2023-11-13T11:00:00+09:00,晴れ　時々　くもり,北西の風　やや強く　海上　では　北の風　強く,３メートル　後　２メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北東部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,北西の風　後　南東の風　海上　では　はじめ　北西の風　やや強く,２メートル　後　１．５メートル　うねり　を伴う
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,北東部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北西の風,１．５メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ,北の風　やや強く　夷隅・安房　では　北の風　強く,３メートル　後　２メートル
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-14T00:00:00+09:00,晴れ　昼過ぎ　から　くもり　所により　夜遅く　雨,北の風　後　南東の風　夷隅・安房　では　はじめ　北の風　やや強く,２メートル　後　１．５メートル　うねり　を伴う
千葉,銚子地方気象台,2023-11-13T11:00:00+09:00,南部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,東京地方,2023-11-13T11:00:00+09:00,くもり　時々　晴れ　所により　昼過ぎ　まで　雨,北の風　後　やや強く,０．５メートル　後　１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,東京地方,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり,北西の風　後　南の風,０．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,東京地方,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,０．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島北部,2023-11-13T11:00:00+09:00,くもり　時々　晴れ　所により　夕方　まで　雨　で　雷を伴う,北の風　やや強く　後　北東の風　やや強く　新島　では　西の風　強く,２メートル　ただし　新島　では　２．５メートル　後　３メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島北部,2023-11-14T00:00:00+09:00,くもり　時々　晴れ　所により　夜　雨,北東の風　後　南の風,１．５メートル　ただし　新島　では　２．５メートル　後　１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島北部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風　後　西の風,１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島南部,2023-11-13T11:00:00+09:00,雨　夕方　から　くもり　所により　夕方　まで　雷　を伴う,西の風　強く　後　北西の風　強く,４メートル　ただし　三宅島　では　３メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島南部,2023-11-14T00:00:00+09:00,くもり　時々　晴れ　所により　朝晩　雨,北西の風　やや強く　後　西の風,４メートル　後　１．５メートル　ただし　三宅島　では　３メートル　後　１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,伊豆諸島南部,2023-11-15T00:00:00+09:00,くもり,西の風　後　北西の風,１．５メートル
東京,気象庁,2023-11-13T11:00:00+09:00,小笠原諸島,2023-11-13T11:00:00+09:00,くもり　所により　夕方　まで　雨,北西の風　やや強く,２メートル　後　３メートル　うねり　を伴う
東京,気象庁,2023-11-13T11:00:00+09:00,小笠原諸島,2023-11-14T00:00:00+09:00,晴れ　時々　くもり,北西の風　やや強く　後　北東の風,３メートル　うねり　を伴う
東京,気象庁,2023-11-13T11:00:00+09:00,小笠原諸島,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北東の風,２．５メートル　うねり　を伴う
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,東部,2023-11-13T11:00:00+09:00,くもり　夕方　から　晴れ　所により　夕方　まで　雨　で　雷を伴う,北の風　海上　では　北の風　やや強く,１．５メートル
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,東部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり　所により　夜遅く　雨,北の風　後　南の風,１メートル
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,東部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北の風,１メートル
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,西部,2023-11-13T11:00:00+09:00,くもり　夕方　から　晴れ　所により　夕方　まで　雨　で　雷を伴う,北の風　海上　では　北の風　やや強く,１．５メートル
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,西部,2023-11-14T00:00:00+09:00,晴れ　夕方　から　くもり　所により　夜遅く　雨,北の風　後　南の風,１メートル
神奈川,横浜地方気象台,2023-11-13T11:00:00+09:00,西部,2023-11-15T00:00:00+09:00,くもり　時々　晴れ,北西の風,１メートル
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,下越,2023-11-13T11:00:00+09:00,雨　時々　くもり　所により　雷　を伴う,北西の風　やや強く　海上　では　北西の風　強く,３メートル
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,下越,2023-11-14T00:00:00+09:00,くもり　朝　まで　時々　雨,北西の風　やや強く　海上　では　はじめ　北西の風　強く,３メートル　後　２メートル　うねり　を伴う
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,下越,2023-11-15T00:00:00+09:00,くもり　一時　雨,南東の風　後　西の風,１．５メートル　後　１メートル
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,中越,2023-11-13T11:00:00+09:00,雨　時々　くもり　所により　雷　を伴う,北西の風　やや強く　海上　では　北西の風　強く,２．５メートル　後　３メートル
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,中越,2023-11-14T00:00:00+09:00,くもり　朝　まで　時々　雨,北西の風　はじめ　やや強く　海上　では　はじめ　北西の風　強く,３メートル　後　１メートル　うねり　を伴う
新潟,新潟地方気象台,2023-11-13T11:00:00+09:00,中越,2023-11-15T00:00:00+09:00,くもり,南東の風　後　西の風,１メートル
